timestamp	iteration	model	action	factor_name	category	score	delta	sharpe	excess_return	ic_ir	status	hypothesis
2026-04-08T05:16:39.476081	1	qwen3.5-plus	NEW_FACTOR	evolved_005_offensive_correlation_regime	regime	0.150574	-0.054145	1.1472	0.0534	0.0000	DISCARDED	进攻型资产之间的相关性在系统性风险爆发前通常会显著上升（分散化失效），捕捉这一结构变化可作为波动率之外的独立风险信号，帮助策略更早降低风险敞口。
2026-04-08T05:17:44.810975	2	qwen3.5-plus	NEW_FACTOR	evolved_006_offensive_breadth_regime	regime	0.196983	-0.007736	1.1860	0.0650	0.0000	DISCARDED	市场广度（参与上涨的资产比例）的恶化通常领先于波动率的飙升。在缓慢下跌的"grind down"行情中（如 2022 年），波动率可能尚未爆发但广度已显著收缩，此因子能捕捉此类风险，弥补纯波动率 regime 因子的滞后性，帮助策略更早切换
2026-04-08T05:19:16.736801	3	qwen3.5-plus	NEW_FACTOR	evolved_007_offensive_trend_efficiency	offensive	-999.000000	-999.204719	0.7333	-0.0314	-0.1093	DISCARDED	Smooth trends persist longer than noisy trends; scoring assets by price path efficiency (Kaufman ER) filters out choppy 
2026-04-08T05:20:21.453073	4	qwen3.5-plus	NEW_FACTOR	evolved_008_offensive_ma_filter	filter	0.204719	0.000000	1.2152	0.0681	0.0000	DISCARDED	进攻型资产若处于长期下跌趋势（收盘价低于 200 日均线），即使短期动量为正也往往是"死猫反弹"，过滤此类资产可避免在世俗熊市中持有股票类资产，显著降低最大回撤。
2026-04-08T05:22:05.550039	5	qwen3.5-plus	NEW_FACTOR	evolved_009_offensive_volume_confirmed_mom	offensive	0.154033	-0.050686	1.1078	0.0546	-1.3235	DISCARDED	价格动量若得到成交量的确认，则趋势可持续性更强。标准动量因子平等对待低成交量和高成交量的上涨，而成交量加权能过滤出机构参与度高的"高置信度"行情，减少低流动性噪音导致的假信号。
2026-04-08T05:33:28.722814	6	qwen3.5-plus	NEW_FACTOR	evolved_010_defensive_hedge_quality	defensive	0.116731	-0.087988	1.1209	0.0466	-0.2037	DISCARDED	防御型资产的核心价值在于其与股市的负相关性（对冲有效性）。传统评分仅关注绝对收益或趋势，忽略了资产在危机中的实际保护能力。本因子通过计算防御资产与 SPY 的滚动相关性，给予负相关性高的资产更高评分，确保在股市下跌时策略优先持有真正能起到对
2026-04-08T05:34:00.254753	7	qwen3.5-plus	NEW_FACTOR	evolved_011_defensive_stress_performance	defensive	0.147425	-0.057294	1.1339	0.0546	0.1426	DISCARDED	防御型资产的核心价值在于股市承压时的保护能力，而非绝对收益。本因子通过识别近期股市压力期（基于滞后回撤信号），评估各防御资产在这些压力窗口内的相对表现，给予在股市下跌时表现更好的资产更高分，确保策略在风险时期持有真正有效的对冲资产。
2026-04-08T05:35:27.858109	8	qwen3.5-plus	NEW_FACTOR	evolved_012_offensive_downside_resilience	offensive	0.204719	0.000000	1.2152	0.0681	0.0000	DISCARDED	进攻型资产中，那些在市场下跌期间表现相对抗跌（低下行捕获率）的资产，往往具有更高质量的动量，能在后续阶段持续领跑。该因子通过专门评估资产在“市场压力日”的相对表现，补充了总动量因子的不足，有助于在风险累积初期从高风险贝塔资产（如 QQQ）轮
2026-04-08T05:36:31.486260	9	qwen3.5-plus	NEW_FACTOR	evolved_013_regime_stock_bond_stress	regime	0.156749	-0.047970	1.1333	0.0551	0.0000	DISCARDED	Traditional 60/40 diversification fails when stocks and bonds fall together (positive correlation regime), often during 
2026-04-08T05:36:48.103968	10	qwen3.5-plus	NEW_FACTOR	evolved_014_offensive_momentum_acceleratio	offensive	-0.172778	-0.377497	0.6007	-0.0256	0.9060	DISCARDED	动量的变化率（加速度）包含独立于绝对动量的信息——加速上涨的资产比减速上涨的资产更可能延续趋势，即使两者当前动量水平相同。现有 base_offensive_score 只捕捉趋势强度，无法区分动量是在增强还是衰减，本因子通过计算动量的一阶
